season,week,team,pick_pct,win_prob,expected_value
2019,11,PIT,0.008,0.39299999999999996,0.59
2019,11,SEA,NA,NA,NA
2019,11,SF,0.1,0.7909999999999999,1.12
2019,11,TB,0,0.324,0.51
2019,11,TEN,NA,NA,NA
2019,11,WAS,0.006999999999999999,0.531,0.79
2019,12,ARI,NA,NA,NA
2019,12,ATL,0.04,0.619,0.92
2019,12,BAL,0.005,0.608,0.93
2019,12,BUF,0.013000000000000001,0.6409999999999999,0.98
2019,12,CAR,0,0.203,0.42
2019,12,CHI,0.07200000000000001,0.7040000000000001,1.03
2019,12,CIN,0,0.29600000000000004,0.53
2019,12,CLE,0.442,0.8029999999999999,0.98
2019,12,DAL,0,0.312,0.49
2019,12,DEN,0.001,0.359,0.56
2019,12,DET,0.062,0.637,0.93
2019,12,GB,0.003,0.39,0.6
2019,12,HOU,0.021,0.635,0.96
2019,12,IND,0.001,0.365,0.58
2019,12,JAX,0.001,0.344,0.54
2019,12,KC,NA,NA,NA
2019,12,LAC,NA,NA,NA
2019,12,LAR,0.002,0.392,0.61
2019,12,MIA,0,0.19699999999999998,0.56
2019,12,MIN,NA,NA,NA
2019,12,NE,0.013000000000000001,0.688,1.05
2019,12,NO,0.172,0.797,1.12
2019,12,NYG,0,0.29600000000000004,0.51
2019,12,NYJ,0.001,0.37799999999999995,0.59
2019,12,OAK,0.019,0.622,0.94
2019,12,PHI,0.001,0.446,0.69
2019,12,PIT,0.11199999999999999,0.7040000000000001,1.01
2019,12,SEA,0.005,0.5539999999999999,0.85
2019,12,SF,0.001,0.61,0.94
2019,12,TB,0.001,0.381,0.62
2019,12,TEN,0.009000000000000001,0.6559999999999999,1
2019,12,WAS,0.001,0.363,0.6
2019,13,ARI,0,0.43,0.66
2019,13,ATL,0.001,0.267,0.42
2019,13,BAL,0.005,0.685,1.03
2019,13,BUF,0,0.27699999999999997,0.42
2019,13,CAR,0.44799999999999995,0.807,0.97
2019,13,CHI,0.027999999999999997,0.6829999999999999,1.01
2019,13,CIN,0.004,0.43,0.67
2019,13,CLE,0.001,0.528,0.79
2019,13,DAL,0.013999999999999999,0.723,1.08
2019,13,DEN,0.001,0.34,0.51
2019,13,DET,0.002,0.317,0.49
2019,13,GB,0.135,0.716,0.99
2019,13,HOU,0,0.385,0.58
2019,13,IND,0.003,0.47600000000000003,0.71
2019,13,JAX,0.006,0.39299999999999996,0.59
2019,13,KC,0.159,0.802,1.12
2019,13,LAC,0.003,0.66,0.99
2019,13,LAR,0.02,0.57,0.84
2019,13,MIA,0,0.20199999999999999,0.35
2019,13,MIN,0.001,0.42100000000000004,0.63
2019,13,NE,0.004,0.615,0.92
2019,13,NO,0.031,0.733,1.08
2019,13,NYG,0,0.284,0.51
2019,13,NYJ,0.035,0.57,0.83
2019,13,OAK,0,0.198,0.38
2019,13,PHI,0.08800000000000001,0.7979999999999999,1.15
2019,13,PIT,0.002,0.47200000000000003,0.71
2019,13,SEA,0.003,0.579,0.87
2019,13,SF,0,0.315,0.48
2019,13,TB,0.002,0.607,0.91
2019,13,TEN,0.002,0.524,0.79
2019,13,WAS,0,0.193,0.53
