date,season,team1,team2,elo_team1,elo_team2,prob_team1,prob_team2
10/28/1923,1923,CHI,BFF,1588.264,1580.998,0.60252486,0.39747514
11/4/1923,1923,SLA,GB,1287.116,1468.915,0.33797104,0.66202896
11/4/1923,1923,RII,MIL,1576.599,1405.414,0.795693078,0.204306922
11/4/1923,1923,CHI,OOR,1609.603,1315.435,0.887707698,0.112292302
11/4/1923,1923,MNN,RAC,1399.415,1515.513,0.426989717,0.573010283
11/4/1923,1923,ARI,CBD,1610.223,1699.07,0.465735199,0.534264801
11/4/1923,1923,CIB,BFF,1354.966,1559.658,0.309142383,0.690857617
11/11/1923,1923,MNN,RII,1423.813,1532.298,0.437744791,0.562255209
11/11/1923,1923,COL,TOL,1410.937,1515.205,0.443728208,0.556271792
11/11/1923,1923,MIL,DUL,1449.715,1395.981,0.664516703,0.335483297
11/11/1923,1923,RAC,GB,1491.116,1477.813,0.610817135,0.389182865
11/11/1923,1923,ARI,HAM,1595.392,1416.437,0.802868175,0.197131825
11/11/1923,1923,CIB,DAY,1360.787,1460.134,0.450731091,0.549268909
11/11/1923,1923,CHI,AKR,1615.967,1448.814,0.791894019,0.208105981
11/11/1923,1923,BFF,CBD,1553.837,1713.901,0.366506758,0.633493242
11/11/1923,1923,SLA,OOR,1278.218,1309.072,0.548982439,0.451017561
11/18/1923,1923,CBD,OOR,1709.83,1290.602,0.941993343,0.058006657
11/18/1923,1923,CHI,RII,1626.162,1530.4,0.716145274,0.283854726
11/18/1923,1923,MIL,GB,1458.54,1513.702,0.514154237,0.485845763
11/18/1923,1923,CIB,COL,1362.29,1443.03,0.477363803,0.522636197
11/18/1923,1923,ARI,DUL,1602.298,1387.156,0.833775789,0.166224211
11/18/1923,1923,BFF,DAY,1557.909,1458.631,0.720241569,0.279758431
11/24/1923,1923,SLA,MIL,1296.689,1444.221,0.383411655,0.616588345
11/24/1923,1923,RCH,TOL,1407.881,1483.111,0.4852821,0.5147179
11/25/1923,1923,ARI,RAC,1609.37,1455.227,0.779282241,0.220717759
11/25/1923,1923,BFF,TOL,1565.126,1501.91,0.676573811,0.323426189
11/25/1923,1923,CIB,CBD,1382.776,1713.384,0.178145527,0.821854473
11/25/1923,1923,COL,OOR,1422.544,1287.048,0.760267705,0.239732295
11/25/1923,1923,CHI,HAM,1634.677,1409.531,0.841604436,0.158395564
11/25/1923,1923,RII,MNN,1521.885,1425.711,0.716627141,0.283372859
11/25/1923,1923,GB,DUL,1528.022,1380.084,0.773077309,0.226922691
11/29/1923,1923,GB,HAM,1537.944,1403.711,0.758940088,0.241059912
11/29/1923,1923,RAC,MIL,1488.911,1465.583,0.624444652,0.375555348
